SOORTNR,FLORON,WETENSCHAP,NEDERLANDS,zeldzaamheidsklasse,trendklasse,RL2000,RL2000kort
38,,"Alopecurus aequalis","Rosse vossestaart",,,,
39,,"Alopecurus bulbosus","Knolvossestaart","zz","tt","BE-10","BE"
40,,"Alopecurus geniculatus","Geknikte vossestaart",,,,
41,,"Alopecurus myosuroides","Duist",,,,
42,,"Alopecurus pratensis","Grote vossestaart",,,,
43,,"Althaea officinalis","Echte heemst","z","t","KW-7","KW"
44,,"Alyssum alyssoides","Bleek schildzaad","zzz","tt","BE-9","BE"
45,,"Amaranthus graecizans","Afrikaanse amarant",,,,
46,,"Amaranthus blitum","Kleine majer",,,,
47,,"Amaranthus retroflexus","Papegaaiekruid",,,,
48,,"Ambrosia artemisiifolia","Alsemambrosia",,,,
49,,"Calammophila baltica (x-)","Noordse helm",,,,
50,,"Ammophila arenaria","Helm",,,,
51,,"Anacamptis pyramidalis","Hondskruid","zzz","0/+","GE-1","GE"
52,,"Anagallis arvensis subsp. arvensis","Rood guichelheil",,,,
53,,"Anagallis tenella","Teer guichelheil","zzz","t","KW-5","KW"
54,,"Anchusa officinalis","Gewone ossetong",,,,
55,,"Andromeda polifolia","Lavendelhei","z","t","KW-7","KW"
56,,"Anemone nemorosa","Bosanemoon",,,,
57,,"Pulsatilla vulgaris","Wildemanskruid","x","tttt","VN-17","VN"
58,,"Anemone ranunculoides","Gele anemoon",,,,
59,,"Angelica archangelica","Grote engelwortel",,,,
60,,"Angelica sylvestris","Gewone engelwortel",,,,
61,,"Antennaria dioica","Rozenkransje","zzz","ttt","EB-13","EB"
62,,"Anthemis arvensis","Valse kamille","z","ttt","KW-15","KW"
63,,"Anthemis cotula","Stinkende kamille","zzz","ttt","EB-13","EB"
64,,"Anthemis tinctoria","Gele kamille",,,,
65,,"Anthericum liliago","Grote graslelie","zzz","0/+","GE-1","GE"
66,,"Anthoxanthum odoratum","Gewoon reukgras",,,,
67,,"Anthoxanthum aristatum","Slofhak","a","tt","GE-12","GE"
68,,"Anthriscus caucalis","Fijne kervel",,,,
69,,"Anthriscus cerefolium","Echte kervel",,,,
70,,"Anthriscus sylvestris","Fluitekruid",,,,
71,,"Anthyllis vulneraria","Wondklaver","z","t","KW-7","KW"
72,,"Misopates orontium","Akkerleeuwebek","z","tt","KW-11","KW"
73,,"Apera spica-venti","Grote windhalm",,,,
74,,"Aphanes arvensis","Grote leeuweklauw","zz","tt","BE-10","BE"
75,,"Aphanes inexpectata","Kleine leeuweklauw",,,,
76,,"Apium graveolens","Selderij","z","t","KW-7","KW"
77,,"Apium inundatum","Ondergedoken moerasscherm","zz","t","KW-6","KW"
78,,"Apium nodiflorum","Groot moerasscherm",,,,
79,,"Apium repens","Kruipend moerasscherm","zzz","tt","BE-9","BE"
80,,"Aquilegia vulgaris","Wilde akelei",,,,
81,,"Arabidopsis thaliana","Zandraket",,,,
82,,"Arabis hirsuta subsp. hirsuta","Ruige scheefkelk s.s.",,,,
83,,"Arctium lappa","Grote klit",,,,
85,,"Arctium nemorosum","Bosklit",,,,
87,,"Arctium tomentosum","Donzige klit",,,,
88,,"Arctostaphylos uva-ursi","Beredruif","zzz","tt","BE-9","BE"
89,,"Arenaria serpyllifolia","Gewone zandmuur",,,,
90,,"Aristolochia clematitis","Pijpbloem",,,,
91,,"Armeria maritima","Engels gras","z","tt","KW-11","KW"
92,,"Armoracia rusticana","Mierik",,,,
93,,"Arnica montana","Valkruid","zz","ttt","BE-14","BE"
94,,"Arnoseris minima","Korensla","zzz","ttt","EB-13","EB"
96,,"Arrhenatherum elatius","Glanshaver",,,,
97,,"Artemisia absinthium","Absintalsem","z","t","KW-7","KW"
98,,"Artemisia campestris subsp. campestris","Wilde averuit","zzz","tt","BE-9","BE"
99,,"Artemisia campestris subsp. maritima","Duinaveruit",,,,
100,,"Seriphidium maritimum","Zeealsem","z","t","KW-7","KW"
101,,"Artemisia vulgaris","Bijvoet",,,,
102,,"Arum italicum","Italiaanse aronskelk",,,,
103,,"Arum maculatum","Gevlekte aronskelk",,,,
104,,"Asparagus officinalis subsp. officinalis","Tuinasperge",,,,
105,,"Asparagus officinalis subsp. prostratus","Liggende asperge",,,,
106,,"Asperugo procumbens","Scherpkruid","zzz","ttt","EB-13","EB"
107,,"Asperula arvensis","Akkerbedstro",,,,
108,,"Asperula cynanchica","Kalkbedstro",,,,
109,,"Galium glaucum","Zeegroen walstro","x","tttt","VN-17","VN"
110,,"Galium odoratum","Lievevrouwebedstro",,,,
111,,"Asplenium adiantum-nigrum","Zwartsteel",,,,
112,,"Asplenium ruta-muraria","Muurvaren",,,,
113,,"Asplenium trichomanes","Steenbreekvaren",,,,
114,,"Aster lanceolatus","Smalle aster",,,,
116,,"Aster tradescantii","Kleine aster",,,,
117,,"Aster tripolium","Zulte",,,,
118,,"Astragalus glycyphyllos","Wilde hokjespeul",,,,
119,,"Athyrium filix-femina","Wijfjesvaren",,,,
120,,"Atriplex glabriuscula","Kustmelde",,,,
121,,"Atriplex prostrata","Spiesmelde",,,,
122,,"Atriplex littoralis","Strandmelde",,,,
123,,"Atriplex patula","Uitstaande melde",,,,
124,,"Atriplex laciniata","Gelobde melde","zzz","0/+","GE-1","GE"
125,,"Atropa bella-donna","Wolfskers","zzz","t","KW-5","KW"
126,,"Avena fatua","Oot",,,,
127,,"Azolla mexicana","Kleine kroosvaren","x","tttt","VN-17","VN"
128,,"Azolla filiculoides","Grote kroosvaren",,,,
129,,"Ballota nigra subsp. foetida","Stinkende ballote",,,,
130,,"Barbarea intermedia","Bitter barbarakruid",,,,
131,,"Barbarea stricta","Stijf barbarakruid",,,,
132,,"Barbarea verna","Vroeg barbarakruid",,,,
133,,"Barbarea vulgaris","Gewoon barbarakruid",,,,
134,,"Bassia hirsuta","Ruig zoutkruid","x","tttt","VN-17","VN"
135,,"Bellis perennis","Madeliefje",,,,
136,,"Berberis vulgaris","Zuurbes",,,,
137,,"Berteroa incana","Grijskruid",,,,
138,,"Beta vulgaris subsp. maritima","Strandbiet",,,,
139,,"Betula pubescens","Zachte berk",,,,
140,,"Betula pendula","Ruwe berk",,,,
141,,"Bidens cernua","Knikkend tandzaad",,,,
142,,"Bidens connata","Smal tandzaad",,,,
143,,"Bidens frondosa","Zwart tandzaad",,,,
144,,"Bidens tripartita","Veerdelig tandzaad",,,,
145,,"Blackstonia perfoliata subsp. serotina","Herfstbitterling",,,,
146,,"Blechnum spicant","Dubbelloof","a","tt","GE-12","GE"
147,,"Borago officinalis","Bernagie",,,,
148,,"Botrychium lunaria","Gelobde maanvaren","z","t","KW-7","KW"
149,,"Botrychium matricariifolium","Vertakte maanvaren",,,,
150,,"Brachypodium pinnatum","Gevinde kortsteel",,,,
151,,"Brachypodium sylvaticum","Boskortsteel",,,,
152,,"Brassica nigra","Zwarte mosterd",,,,
153,,"Briza media","Bevertjes","z","ttt","KW-15","KW"
154,,"Bromus arvensis","Akkerdravik",,,,
155,,"Bromopsis ramosa subsp. benekenii","Bosdravik","zzz","tt","BE-9","BE"
156,,"Bromus racemosus subsp. commutatus","Grote trosdravik",,,,
157,,"Bromopsis erecta","Bergdravik","zzz","0/+","GE-1","GE"
158,,"Bromus hordeaceus subsp. thominei","Duindravik",,,,
159,,"Bromopsis inermis (subsp. inermis)","Kweekdravik",,,,
160,,"Bromus lepidus","Sierlijke dravik",,,,
161,,"Bromus hordeaceus subsp. hordeaceus","Zachte dravik s.s.",,,,
162,,"Bromus racemosus subsp. racemosus","Velddravik",,,,
163,,"Bromopsis ramosa subsp. ramosa","Ruwe dravik","zzz","ttt","EB-13","EB"
164,,"Bromus secalinus","Dreps","zzz","ttt","EB-13","EB"
165,,"Anisantha sterilis","IJle dravik",,,,
166,,"Anisantha tectorum","Zwenkdravik",,,,
167,,"Bryonia dioica","Heggerank",,,,
168,,"Bunias orientalis","Grote hardvrucht",,,,
169,,"Bunium bulbocastanum","Aardkastanje","zzz","t","KW-5","KW"
170,,"Bupleurum tenuissimum","Fijn goudscherm","zzz","tt","BE-9","BE"
171,,"Butomus umbellatus","Zwanebloem",,,,
172,,"Cakile maritima","Zeeraket",,,,
173,,"Calamagrostis canescens","Hennegras",,,,
174,,"Calamagrostis epigejos","Duinriet",,,,
175,,"Calamagrostis stricta","Stijf struisriet","zz","tt","BE-10","BE"
176,,"Calamagrostis pseudophragmites","Rivierstruisriet","x","tttt","VN-17","VN"
177,,"Calepina irregularis","Kalkraket","zzz","tt","BE-9","BE"
178,,"Calla palustris","Slangewortel",,,,
179,,"Callitriche cophocarpa","Gekield sterrekroos","x","tttt","VN-17","VN"
180,,"Callitriche hamulata","Haaksterrekroos",,,,
181,,"Callitriche hermaphroditica","Rond sterrekroos","zzz","tt","BE-9","BE"
182,,"Callitriche obtusangula","Stomphoekig sterrekroos",,,,
183,,"Callitriche palustris","Klein sterrekroos","zzz","ttt","EB-13","EB"
184,,"Callitriche platycarpa","Gewoon sterrekroos",,,,
185,,"Callitriche stagnalis","Gevleugeld sterrekroos",,,,
186,,"Calluna vulgaris","Struikhei",,,,
187,,"Caltha palustris subsp. palustris","Gewone dotterbloem",,,,
188,,"Calystegia sepium","Haagwinde",,,,
189,,"Calystegia soldanella","Zeewinde",,,,
190,,"Camelina sativa subsp. alyssum","Vlashuttentut","x","tttt","VN-17","VN"
191,,"Campanula glomerata","Kluwenklokje","zzz","tt","BE-9","BE"
192,,"Campanula latifolia","Breed klokje",,,,
193,,"Campanula patula","Weideklokje","zzz","tt","BE-9","BE"
194,,"Campanula persicifolia","Prachtklokje",,,,
195,,"Campanula rapunculoides","Akkerklokje",,,,
196,,"Campanula rapunculus","Rapunzelklokje","z","tt","KW-11","KW"
197,,"Campanula rhomboidalis","Bergklokje",,,,
198,,"Campanula rotundifolia","Grasklokje",,,,
199,,"Campanula trachelium","Ruig klokje",,,,
200,,"Capsella bursa-pastoris","Gewoon herderstasje",,,,
201,,"Cardamine amara","Bittere veldkers",,,,
202,,"Cardamine flexuosa","Bosveldkers",,,,
203,,"Cardamine hirsuta","Kleine veldkers",,,,
204,,"Cardamine impatiens","Springzaadveldkers",,,,
205,,"Cardamine pratensis","Pinksterbloem",,,,
206,,"Arabis arenosa","Rozetsteenkers",,,,
207,,"Carduus acanthoides","Langstekelige distel",,,,
208,,"Carduus crispus","Kruldistel",,,,
209,,"Carduus nutans","Knikkende distel",,,,
210,,"Carduus tenuiflorus","Tengere distel","zzz","ttt","EB-13","EB"
211,,"Carex acuta","Scherpe zegge",,,,
212,,"Carex acutiformis","Moeraszegge",,,,
213,,"Carex appropinquata","Paardehaarzegge","zz","t","KW-6","KW"
214,,"Carex aquatilis","Noordse zegge","z","tt","KW-11","KW"
215,,"Carex arenaria","Zandzegge",,,,
216,,"Carex brizoides","Trilgraszegge","zzz","0/+","GE-1","GE"
217,,"Carex buxbaumii","Knotszegge","zzz","0/+","GE-1","GE"
218,,"Carex caryophyllea","Voorjaarszegge","zz","t","KW-6","KW"
219,,"Carex curta","Zompzegge",,,,
220,,"Carex oederi subsp. oedocarpa","Geelgroene zegge",,,,
221,,"Carex diandra","Ronde zegge","zz","t","KW-6","KW"
222,,"Carex digitata","Vingerzegge","zzz","tt","BE-9","BE"
223,,"Carex dioica","Tweehuizige zegge","zzz","ttt","EB-13","EB"
224,,"Carex distans","Zilte zegge",,,,
225,,"Carex disticha","Tweerijige zegge",,,,
226,,"Carex divisa","Waardzegge",,,,
227,,"Carex divulsa subsp. divulsa","IJle bermzegge",,,,
228,,"Carex echinata","Sterzegge",,,,
229,,"Carex elongata","Elzenzegge",,,,
230,,"Carex ericetorum","Heidezegge","zzz","tt","BE-9","BE"
231,,"Carex extensa","Kwelderzegge",,,,
232,,"Carex flacca","Zeegroene zegge",,,,
233,,"Carex flava","Gele zegge","zzz","tt","BE-9","BE"
234,,"Carex hartmanii","Kleine knotszegge","zzz","0/+","GE-1","GE"
235,,"Carex hirta","Ruige zegge",,,,
236,,"Carex hostiana","Blonde zegge","zz","ttt","BE-14","BE"
237,,"Carex elata","Stijve zegge",,,,
238,,"Carex laevigata","Gladde zegge","zzz","0/+","GE-1","GE"
239,,"Carex lasiocarpa","Draadzegge","z","t","KW-7","KW"
240,,"Carex lepidocarpa","Schubzegge","zzz","tt","BE-9","BE"
242,,"Carex limosa","Slijkzegge","x","tttt","VN-17","VN"
243,,"Carex muricata","Dichte bermzegge","zzz","tt","BE-9","BE"
244,,"Carex nigra","Zwarte zegge",,,,
245,,"Carex otrubae","Valse voszegge",,,,
246,,"Carex ovalis","Hazezegge",,,,
247,,"Carex pallescens","Bleke zegge","z","t","KW-7","KW"
248,,"Carex panicea","Blauwe zegge",,,,
249,,"Carex paniculata","Pluimzegge",,,,
250,,"Carex pendula","Hangende zegge","zzz","0/+","GE-1","GE"
251,,"Carex pilulifera","Pilzegge",,,,
252,,"Carex divulsa subsp. leersii","Bleke bermzegge",,,,
253,,"Carex praecox","Vroege zegge","zzz","tt","BE-9","BE"
254,,"Carex pseudocyperus","Hoge cyperzegge",,,,
255,,"Carex pulicaris","Vlozegge","zz","tt","BE-10","BE"
256,,"Carex punctata","Stippelzegge","zzz","0/+","GE-1","GE"
258,,"Carex remota","IJle zegge",,,,
259,,"Carex riparia","Oeverzegge",,,,
260,,"Carex rostrata","Snavelzegge",,,,
261,,"Carex oederi subsp. oederi","Dwergzegge",,,,
262,,"Carex spicata","Gewone bermzegge",,,,
263,,"Carex strigosa","Slanke zegge","zzz","t","KW-5","KW"
264,,"Carex sylvatica","Boszegge",,,,
265,,"Carex tomentosa","Viltzegge","x","tttt","VN-17","VN"
266,,"Carex trinervis","Drienervige zegge",,,,
267,,"Carex vesicaria","Blaaszegge",,,,
268,,"Carex vulpina","Voszegge","zz","t","KW-6","KW"
269,,"Carlina vulgaris","Driedistel","z","t","KW-7","KW"
270,,"Carpinus betulus","Haagbeuk",,,,
271,,"Carum carvi","Echte karwij","a","tt","GE-12","GE"
272,,"Carum verticillatum","Kranskarwij","zzz","ttt","EB-13","EB"
273,,"Castanea sativa","Tamme kastanje",,,,
274,,"Catabrosa aquatica","Watergras",,,,
275,,"Catapodium marinum","Laksteeltje","zzz","0/+","GE-1","GE"
276,,"Catapodium rigidum","Stijf hardgras","zzz","0/+","GE-1","GE"
278,,"Centaurea calcitrapa","Kalketrip","zzz","ttt","EB-13","EB"
279,,"Centaurea cyanus","Korenbloem","a","tt","GE-12","GE"
284,,"Centaurea scabiosa","Grote centaurie","zz","t","KW-6","KW"
285,,"Centaurium littorale","Strandduizendguldenkruid",,,,
286,,"Centaurium erythraea","Echt duizendguldenkruid",,,,
287,,"Centaurium pulchellum","Fraai duizendguldenkruid",,,,
288,,"Anagallis minima","Dwergbloem","zz","ttt","BE-14","BE"
289,,"Cephalanthera damasonium","Bleek bosvogeltje","zzz","t","KW-5","KW"
290,,"Cephalanthera longifolia","Wit bosvogeltje","zzz","tt","BE-9","BE"
291,,"Cephalanthera rubra","Rood bosvogeltje","x","tttt","VN-17","VN"
292,,"Cerastium arvense","Akkerhoornbloem",,,,
293,,"Cerastium diffusum","Scheve hoornbloem",,,,
294,,"Cerastium brachypetalum","Kalkhoornbloem","zzz","0/+","GE-1","GE"
295,,"Cerastium glomeratum","Kluwenhoornbloem",,,,
296,,"Cerastium fontanum subsp. vulgare","Gewone hoornbloem",,,,
297,,"Cerastium pumilum","Steenhoornbloem","zzz","0/+","GE-1","GE"
298,,"Cerastium semidecandrum","Zandhoornbloem",,,,
299,,"Ceratophyllum demersum","Grof hoornblad",,,,
300,,"Ceratophyllum submersum","Fijn hoornblad",,,,
301,,"Ceterach officinarum","Schubvaren","zzz","0/+","GE-1","GE"
302,,"Chaerophyllum bulbosum","Knolribzaad",,,,
303,,"Chaerophyllum temulum","Dolle kervel",,,,
304,,"Erysimum cheiri","Muurbloem","zzz","ttt","EB-13","EB"
305,,"Chelidonium majus","Stinkende gouwe",,,,
306,,"Chenopodium album","Melganzevoet",,,,
307,,"Chenopodium bonus-henricus","Brave hendrik","zzz","ttt","EB-13","EB"
308,,"Chenopodium capitatum","Aardbeispinazie",,,,
310,,"Chenopodium ficifolium","Stippelganzevoet",,,,
311,,"Chenopodium foliosum","Rode aardbeispinazie",,,,
312,,"Chenopodium glaucum","Zeegroene ganzevoet",,,,
313,,"Chenopodium hybridum","Esdoornganzevoet",,,,
314,,"Chenopodium murale","Muurganzevoet",,,,
315,,"Chenopodium polyspermum","Korrelganzevoet",,,,
316,,"Chenopodium rubrum","Rode ganzevoet",,,,
318,,"Chenopodium vulvaria","Stinkende ganzevoet","zzz","ttt","EB-13","EB"
319,,"Leucanthemum vulgare","Gewone margriet",,,,
320,,"Tanacetum parthenium","Moederkruid",,,,
321,,"Chrysanthemum segetum","Gele ganzebloem",,,,
322,,"Chrysosplenium alternifolium","Verspreidbladig goudveil",,,,
323,,"Chrysosplenium oppositifolium","Paarbladig goudveil",,,,
324,,"Cicendia filiformis","Draadgentiaan","zz","ttt","BE-14","BE"
325,,"Cichorium intybus","Wilde cichorei",,,,
326,,"Cicuta virosa","Waterscheerling",,,,
327,,"Circaea alpina","Alpenheksenkruid","zzz","0/+","GE-1","GE"
328,,"Circaea x intermedia","Klein heksenkruid","zzz","0/+","GE-1","GE"
329,,"Circaea lutetiana","Groot heksenkruid",,,,
330,,"Cirsium acaule","Aarddistel","zzz","ttt","EB-13","EB"
331,,"Cirsium arvense","Akkerdistel",,,,
332,,"Cirsium dissectum","Spaanse ruiter","z","ttt","KW-15","KW"
333,,"Cirsium eriophorum","Wollige distel","zzz","0/+","GE-1","GE"
334,,"Cirsium oleraceum","Moesdistel",,,,
335,,"Cirsium palustre","Kale jonker",,,,
336,,"Cirsium vulgare","Speerdistel",,,,
337,,"Cladium mariscus","Galigaan","z","t","KW-7","KW"
338,,"Claytonia perfoliata","Witte winterpostelein",,,,
339,,"Clematis vitalba","Bosrank",,,,
340,,"Clematis viticella","Italiaanse clematis",,,,
341,,"Cochlearia officinalis subsp. anglica","Engels lepelblad","zz","t","KW-6","KW"
342,,"Cochlearia danica","Deens lepelblad",,,,
343,,"Cochlearia officinalis subsp. officinalis","Echt lepelblad","z","t","KW-7","KW"
344,,"Coeloglossum viride","Groene nachtorchis","zzz","tt","BE-9","BE"
345,,"Colchicum autumnale","Wilde herfsttijloos","zzz","tt","BE-9","BE"
346,,"Potentilla palustris","Wateraardbei","a","tt","GE-12","GE"
347,,"Conium maculatum","Gevlekte scheerling",,,,
348,,"Conringia orientalis","Witte steenraket",,,,
349,,"Convallaria majalis","Lelietje-van-dalen",,,,
350,,"Convolvulus arvensis","Akkerwinde",,,,
351,,"Convolvulus lineatus","Calandsklokje",,,,
352,,"Corallorhiza trifida","Koraalwortel","x","tttt","VN-17","VN"
353,,"Corispermum intermedium","Smal vlieszaad",,,,
354,,"Corispermum marschallii","Breed vlieszaad","x","tttt","VN-17","VN"
355,,"Cornus sanguinea","Rode kornoelje",,,,
356,,"Cornus suecica","Zweedse kornoelje","zzz","ttt","EB-13","EB"
357,,"Securigera varia","Bont kroonkruid",,,,
358,,"Coronopus didymus","Kleine varkenskers",,,,
359,,"Coronopus squamatus","Grove varkenskers",,,,
360,,"Corrigiola litoralis","Riempjes","zz","ttt","BE-14","BE"
361,,"Corydalis cava","Holwortel",,,,
362,,"Ceratocapnos claviculata","Rankende helmbloem",,,,
364,,"Pseudofumaria lutea","Gele helmbloem",,,,
365,,"Corydalis solida","Vingerhelmbloem",,,,
366,,"Corylus avellana","Hazelaar",,,,
367,,"Corynephorus canescens","Buntgras",,,,
368,,"Crambe maritima","Zeekool",,,,
369,,"Crataegus monogyna","Eenstijlige meidoorn",,,,
370,,"Crataegus laevigata","Tweestijlige meidoorn",,,,
371,,"Crepis biennis","Groot streepzaad",,,,
372,,"Crepis capillaris","Klein streepzaad",,,,
373,,"Crepis paludosa","Moerasstreepzaad","zz","t","KW-6","KW"
374,,"Crepis tectorum","Smal streepzaad",,,,
375,,"Crepis vesicaria (subsp. taraxacifolia)","Paardebloemstreepzaad",,,,
376,,"Crithmum maritimum","Zeevenkel","zzz","0/+","GE-1","GE"
377,,"Cucubalus baccifer","Besanjelier","zzz","tt","BE-9","BE"
378,,"Cuscuta epilinum","Vlaswarkruid","x","tttt","VN-17","VN"
379,,"Cuscuta epithymum","Klein warkruid","z","ttt","KW-15","KW"
380,,"Cuscuta europaea","Groot warkruid",,,,
381,,"Cuscuta gronovii","Oeverwarkruid",,,,
382,,"Cuscuta lupuliformis","Hopwarkruid",,,,
383,,"Vincetoxicum hirundinaria","Witte engbloem","zzz","t","KW-5","KW"
384,,"Cynodon dactylon","Handjesgras",,,,
385,,"Cynoglossum officinale","Veldhondstong",,,,
386,,"Cynosurus cristatus","Kamgras","a","tt","GE-12","GE"
387,,"Cyperus flavescens","Geel cypergras","x","tttt","VN-17","VN"
388,,"Cyperus fuscus","Bruin cypergras",,,,
389,,"Cystopteris fragilis","Blaasvaren","zzz","tt","BE-9","BE"
390,,"Dactylis glomerata","Kropaar",,,,
392,,"Daphne mezereum","Rood peperboompje","zzz","t","KW-5","KW"
393,,"Datura stramonium","Doornappel",,,,
394,,"Daucus carota","Peen",,,,
395,,"Spergularia segetalis","Korenschijnspurrie","x","tttt","VN-17","VN"
396,,"Consolida regalis","Wilde ridderspoor","zzz","ttt","EB-13","EB"
397,,"Deschampsia cespitosa","Ruwe smele",,,,
398,,"Deschampsia flexuosa","Bochtige smele",,,,
399,,"Deschampsia setacea","Moerassmele","zzz","ttt","EB-13","EB"
400,,"Descurainia sophia","Sofiekruid",,,,
401,,"Dianthus arenarius","Zandanjer",,,,
402,,"Dianthus armeria","Ruige anjer","zz","tt","BE-10","BE"
403,,"Dianthus carthusianorum","Karthuizer anjer","zzz","ttt","EB-13","EB"
404,,"Dianthus deltoides","Steenanjer","z","t","KW-7","KW"
405,,"Dianthus superbus","Prachtanjer","x","tttt","VN-17","VN"
406,,"Digitalis purpurea","Gewoon vingerhoedskruid",,,,
407,,"Digitaria ischaemum","Glad vingergras",,,,
408,,"Digitaria sanguinalis","Harig vingergras",,,,
409,,"Diplotaxis muralis","Kleine zandkool",,,,
410,,"Diplotaxis tenuifolia","Grote zandkool",,,,
411,,"Dipsacus pilosus","Kleine kaardebol",,,,
412,,"Dipsacus fullonum","Grote kaardebol",,,,
413,,"Doronicum pardalianches","Hartbladzonnebloem",,,,
414,,"Doronicum plantagineum","Weegbreezonnebloem",,,,
415,,"Draba muralis","Wit hongerbloempje",,,,
416,,"Drosera longifolia","Lange zonnedauw","zzz","ttt","EB-13","EB"
417,,"Drosera intermedia","Kleine zonnedauw","a","tt","GE-12","GE"
418,,"Drosera rotundifolia","Ronde zonnedauw","a","ttt","GE-16","GE"
419,,"Dryopteris dilatata","Brede stekelvaren",,,,
420,,"Dryopteris cristata","Kamvaren",,,,
421,,"Dryopteris filix-mas","Mannetjesvaren",,,,
422,,"Gymnocarpium dryopteris","Gebogen driehoeksvaren",,,,
423,,"Oreopteris limbosperma","Stippelvaren",,,,
424,,"Phegopteris connectilis","Smalle beukvaren",,,,
425,,"Gymnocarpium robertianum","Rechte driehoeksvaren","zzz","0/+","GE-1","GE"
426,,"Dryopteris carthusiana","Smalle stekelvaren",,,,
427,,"Thelypteris palustris","Moerasvaren",,,,
428,,"Echinochloa crus-galli","Hanepoot",,,,
429,,"Echinodorus ranunculoides","Stijve moerasweegbree","zz","ttt","BE-14","BE"
430,,"Echinodorus repens","Kruipende moerasweegbree","zzz","t","KW-5","KW"
431,,"Echium vulgare","Slangekruid",,,,
432,,"Elatine hexandra","Gesteeld glaskroos",,,,
433,,"Elatine hydropiper","Klein glaskroos","zzz","t","KW-5","KW"
434,,"Elatine triandra","Drietallig glaskroos",,,,
435,,"Eleocharis acicularis","Naaldwaterbies",,,,
436,,"Eleocharis multicaulis","Veelstengelige waterbies",,,,
437,,"Eleocharis palustris","Gewone waterbies",,,,
438,,"Eleocharis quinqueflora","Armbloemige waterbies","zz","tt","BE-10","BE"
439,,"Eleocharis ovata","Eivormige waterbies","zzz","0/+","GE-1","GE"
440,,"Eleocharis uniglumis","Slanke waterbies",,,,
441,,"Elodea canadensis","Brede waterpest","a","tt","GE-12","GE"
442,,"Elodea nuttallii","Smalle waterpest",,,,
443,,"Leymus arenarius","Zandhaver",,,,
444,,"Elytrigia juncea (subsp. boreoatlantica)","Biestarwegras",,,,
445,,"Elytrigia atherica","Strandkweek",,,,
446,,"Elytrigia repens","Kweek",,,,
447,,"Empetrum nigrum","Kraaihei",,,,
448,,"Epilobium ciliatum","Beklierde basterdwederik",,,,
450,,"Chamerion angustifolium","Wilgeroosje",,,,
451,,"Epilobium hirsutum","Harig wilgeroosje",,,,
453,,"Epilobium lanceolatum","Lancetbladige basterdwederik","zzz","ttt","EB-13","EB"
454,,"Epilobium montanum","Bergbasterdwederik",,,,
455,,"Epilobium obscurum","Donkergroene basterdwederik",,,,
456,,"Epilobium palustre","Moerasbasterdwederik","a","tt","GE-12","GE"
457,,"Epilobium parviflorum","Viltige basterdwederik",,,,
458,,"Epilobium roseum","Bleke basterdwederik",,,,
459,,"Epipactis atrorubens","Bruinrode wespenorchis","zzz","t","KW-5","KW"
460,,"Epipactis helleborine","Brede wespenorchis",,,,
461,,"Epipactis palustris","Moeraswespenorchis","z","t","KW-7","KW"
462,,"Equisetum arvense","Heermoes",,,,
463,,"Equisetum fluviatile","Holpijp",,,,
465,,"Equisetum x litorale","Bastaardpaardestaart",,,,
466,,"Equisetum palustre","Lidrus",,,,
